StuID,checkin2,checkin1
201416920101,缺勤,迟到
201416920102,缺勤,请假
201416920104,缺勤,缺勤
201416920105,缺勤,缺勤
201416920106,缺勤,缺勤
201416920215,缺勤,缺勤
201416920217,缺勤,缺勤
201416920218,缺勤,缺勤
201416920219,缺勤,缺勤
201416920220,缺勤,缺勤
201412030210,缺勤,缺勤
201416920401,缺勤,缺勤
201416920403,缺勤,缺勤
201416920405,缺勤,缺勤
201416920406,缺勤,缺勤
201416920508,缺勤,缺勤
201416920509,缺勤,缺勤
201416920510,缺勤,缺勤
201416920511,缺勤,缺勤
201416920512,缺勤,缺勤
201413040325,缺勤,缺勤
201416070325,缺勤,缺勤
201416920616,缺勤,缺勤
201416920618,缺勤,缺勤
201416920619,缺勤,缺勤
201416010104,缺勤,缺勤
201416010105,缺勤,缺勤
201416010106,缺勤,缺勤
201416010107,缺勤,缺勤
201416010108,缺勤,缺勤
