TeacherID,CourseID,SeqID,StartTime
2004633,51610189,1,2017-07-09 13:28:52
2004366,51610166,1,2017-07-09 13:29:02
2004355,51610055,1,2017-07-09 13:29:17
2004633,51610189,2,2017-07-09 13:46:55
2004633,51610189,3,2017-07-09 13:47:55
2004355,51610055,2,2017-07-09 13:48:03
2004366,51610166,2,2017-07-09 13:48:14
2004633,51610189,4,2017-07-09 13:48:30
2004633,51610189,5,2017-07-09 16:51:34
2004366,51610166,3,2017-07-09 16:51:57
2004633,51610189,6,2017-07-10 17:23:45
2004366,51610166,4,2017-07-10 17:23:58
